player_name, player_tagline, player_champion_name, player_items, player_kills, player_death, player_assists, player_level, player_position, player_experience, player_gold_earned, player_cs, player_cs_jg
Karsiak, Riven, Fiora, [3074, 3026, 3111, 3078, 6333, 3053, 3340], 10, 5, 6, 18, TOP, 22058, 19100, 287, 8
polarave, NA1, Amumu, [1057, 3110, 6653, 6665, 3068, 3111, 3364], 6, 7, 18, 18, JUNGLE, 19948, 15271, 19, 205
Jaze, BOO, KogMaw, [3135, 6653, 4645, 3102, 3040, 3020, 3363], 15, 7, 8, 18, MIDDLE, 22159, 18459, 261, 28
Deadly44, NA1, Jhin, [3094, 6676, 3031, 3009, 1036, 3036, 3363], 6, 8, 10, 18, BOTTOM, 19727, 15366, 259, 8
abigbroomstick, NA1, Bard, [3876, 3013, 3083, 3190, 4643, 1028, 3364], 3, 5, 21, 16, UTILITY, 15175, 11556, 36, 4
계란볶음밥, egg, Vayne, [6672, 3091, 3143, 3153, 1037, 3006, 3363], 8, 9, 7, 18, TOP, 19660, 14805, 224, 12
Gusto, NA1, Gragas, [3111, 3157, 3152, 3102, 4630, 1052, 3340], 3, 5, 15, 18, JUNGLE, 18616, 12625, 34, 151
Eamran, TTV, Diana, [3157, 3100, 3152, 3020, 3135, 1058, 3364], 7, 13, 11, 18, MIDDLE, 21254, 16416, 278, 16
Bishop, LOVE, Jinx, [3072, 3031, 3094, 3172, 3036, 6673, 3363], 12, 6, 8, 18, BOTTOM, 18464, 20666, 356, 16
FLY Chime, FLYW, Zilean, [3158, 3876, 3190, 1082, 4629, 3067, 3364], 2, 7, 13, 15, UTILITY, 14408, 9598, 42, 0
