player_name, player_tagline, player_champion_name, player_items, player_kills, player_death, player_assists, player_level, player_position, player_experience, player_gold_earned, player_cs, player_cs_jg
Liuscha, 7777, Darius, [1054, 6631, 3742, 3071, 0, 3009, 3364], 5, 7, 6, 16, TOP, 15745, 11665, 209, 0
lost servant, 0000, Talon, [6698, 3142, 3013, 6695, 6696, 3033, 3364], 19, 2, 7, 18, JUNGLE, 18426, 17470, 37, 210
  A Frozen Titan, NA1, Sylas, [2421, 3152, 4629, 1082, 3020, 3089, 3364], 8, 2, 15, 17, MIDDLE, 18126, 13897, 237, 4
Deadly44, NA1, Jhin, [6676, 3094, 3031, 3009, 6670, 1053, 3363], 8, 1, 10, 15, BOTTOM, 13827, 13599, 220, 4
Sona, Zusa, Nami, [3916, 4005, 3876, 6616, 3009, 4642, 3364], 0, 1, 23, 14, UTILITY, 12352, 8551, 22, 0
FLY Busio, 000, Nasus, [3065, 6662, 3110, 3158, 2055, 1056, 3363], 3, 7, 5, 16, TOP, 15475, 10121, 213, 0
Chud Hankins, Golf, LeeSin, [2055, 2022, 3044, 3047, 6610, 6692, 3340], 4, 8, 3, 13, JUNGLE, 10947, 9610, 15, 146
jamican banana, NA1, Orianna, [3020, 3040, 4646, 3165, 4630, 0, 3363], 4, 9, 2, 15, MIDDLE, 13151, 11451, 198, 8
叫我李硕, 2024, Smolder, [1055, 3094, 3009, 3508, 3161, 0, 3363], 1, 6, 1, 13, BOTTOM, 11404, 10623, 260, 5
Triops, DTF, Senna, [2055, 3870, 6617, 3009, 0, 6620, 3364], 1, 10, 4, 12, UTILITY, 9760, 7067, 14, 0
