player_name, player_tagline, player_champion_name, player_items, player_kills, player_death, player_assists, player_level, player_position, player_experience, player_gold_earned, player_cs, player_cs_jg
Veleno, kmj, Rumble, [3152, 3157, 6653, 3009, 3916, 3147, 3363], 4, 2, 11, 17, TOP, 18141, 13379, 221, 12
iybc9o2q, iybc9, JarvanIV, [3026, 6692, 6610, 6333, 0, 3047, 3364], 6, 3, 16, 17, JUNGLE, 18302, 15266, 26, 187
Burento, NA1, Aatrox, [6701, 3111, 6698, 6692, 3033, 2021, 3363], 10, 6, 10, 18, MIDDLE, 19459, 16167, 211, 28
Dual, 90210, Lucian, [1038, 6697, 3508, 3006, 3033, 6675, 3363], 8, 5, 2, 17, BOTTOM, 17790, 17227, 307, 28
Celerity, NA1, Seraphine, [3870, 3114, 3158, 3165, 6617, 6620, 3364], 1, 4, 16, 15, UTILITY, 13489, 10450, 53, 8
Hatsune Neeko, NA1, Neeko, [3153, 3124, 3033, 3085, 1028, 3006, 3363], 3, 6, 3, 17, TOP, 17352, 14338, 254, 12
Ghostbusters, zzzzz, Udyr, [6695, 6631, 3742, 3033, 1038, 3047, 3364], 12, 10, 6, 18, JUNGLE, 18439, 17306, 88, 181
whats9plus10ha21, MSM, Vladimir, [4629, 1056, 4646, 3020, 1082, 3089, 3340], 2, 5, 6, 17, MIDDLE, 16789, 11787, 223, 5
Deadly44, NA1, Jhin, [3094, 3031, 3087, 3009, 1038, 1018, 3363], 2, 5, 7, 16, BOTTOM, 14819, 13276, 273, 4
Vexile, 999, Soraka, [3047, 6617, 3107, 3082, 1029, 3870, 3364], 1, 3, 15, 14, UTILITY, 12253, 8941, 34, 0
