player_name, player_tagline, player_champion_name, player_items, player_kills, player_death, player_assists, player_level, player_position, player_experience, player_gold_earned, player_cs, player_cs_jg
Ruzuzu, NA1, Yorick, [6698, 3161, 3158, 6694, 3078, 1037, 3363], 8, 7, 5, 18, TOP, 21158, 17862, 285, 36
Hans an Franz, NA1, Aurora, [1082, 4633, 4629, 3020, 2503, 6653, 3364], 10, 8, 8, 16, MIDDLE, 14766, 15133, 164, 9
plex, 123, XinZhao, [3047, 6692, 6610, 3071, 3156, 0, 3364], 9, 9, 9, 16, JUNGLE, 15327, 13784, 37, 156
Deadly44, NA1, Jhin, [3031, 3094, 1018, 3047, 3036, 1029, 3363], 4, 6, 12, 16, BOTTOM, 15490, 13107, 230, 15
Ingvar, NA1, Nautilus, [3869, 3190, 3047, 3083, 2055, 1033, 3364], 1, 12, 12, 13, UTILITY, 10833, 8358, 24, 0
Canthus, 000, Darius, [6333, 6631, 3047, 3053, 3742, 4401, 3340], 11, 5, 11, 18, TOP, 22893, 18861, 312, 16
JomSoYo, JCH, JarvanIV, [6610, 6692, 3158, 2021, 3065, 3110, 3364], 11, 8, 21, 17, JUNGLE, 16848, 15456, 33, 164
OYang GM, 7414, Galio, [3108, 3157, 3147, 6664, 3165, 3047, 3363], 4, 7, 26, 18, MIDDLE, 18486, 13688, 214, 0
The Only Hope, 00001, Kaisa, [3087, 3006, 3124, 3115, 1038, 3302, 3363], 14, 6, 17, 17, BOTTOM, 17565, 17732, 250, 16
Doppelganger Xy, NA1, Nami, [3158, 3876, 0, 6617, 6620, 4005, 3364], 2, 6, 30, 15, UTILITY, 13649, 9786, 24, 0
