player_name, player_tagline, player_champion_name, player_items, player_kills, player_death, player_assists, player_level, player_position, player_experience, player_gold_earned, player_cs, player_cs_jg
lqjywlocf, NA1, Camille, [3074, 1055, 3078, 1001, 1029, 0, 3340], 8, 0, 1, 11, TOP, 8557, 9438, 132, 0
Hanataro, Nokia, Qiyana, [6698, 2031, 1102, 1028, 3134, 2422, 3364], 6, 3, 5, 10, JUNGLE, 6895, 7901, 3, 101
Migajita, Diff, Fizz, [1056, 1082, 3100, 1001, 2055, 0, 3364], 1, 2, 4, 10, MIDDLE, 7029, 5589, 98, 0
GALA, 0623, Ashe, [2031, 3087, 6690, 0, 1055, 3006, 3363], 1, 4, 3, 9, BOTTOM, 5825, 6273, 122, 0
DUMDUM, OBLOC, Poppy, [3877, 3181, 1001, 0, 0, 2055, 3364], 2, 3, 2, 8, UTILITY, 4127, 4727, 34, 0
Retired Kled, NA1, Renekton, [3047, 1055, 2021, 1036, 0, 0, 3340], 1, 6, 0, 9, TOP, 5196, 4018, 77, 4
if only, 0728, Graves, [3142, 1102, 1036, 2422, 1036, 1036, 3340], 2, 5, 2, 9, JUNGLE, 5664, 5113, 13, 82
hauruu, 4273, Ziggs, [2031, 1056, 3003, 3020, 1052, 0, 3340], 4, 3, 0, 11, MIDDLE, 7405, 5701, 112, 0
Deadly44, NA1, Jhin, [1055, 3009, 3031, 1018, 1042, 0, 3363], 5, 1, 1, 9, BOTTOM, 5526, 6083, 114, 0
coblsobr, NA1, TahmKench, [3876, 3047, 1011, 3801, 2055, 0, 3364], 0, 3, 3, 8, UTILITY, 4242, 3620, 21, 0
