player_name, player_tagline, player_champion_name, player_items, player_kills, player_death, player_assists, player_level, player_position, player_experience, player_gold_earned, player_cs, player_cs_jg
gemi swift, NA1, Poppy, [3211, 6692, 6660, 3123, 3121, 3158, 3340], 7, 2, 7, 14, TOP, 12963, 10563, 150, 0
Ah YavaÅŸ, Riri, Rengar, [3123, 1036, 6698, 3158, 6697, 1018, 3340], 7, 5, 8, 14, JUNGLE, 11676, 10892, 11, 158
sdfdsf, NA1, Viktor, [1056, 3040, 3020, 6653, 1058, 1058, 3363], 6, 4, 6, 13, MIDDLE, 11136, 11334, 164, 0
Deadly44, NA1, Jhin, [1055, 3009, 3031, 3087, 3086, 1036, 3363], 6, 2, 9, 13, BOTTOM, 11215, 11255, 181, 7
Alcalamity, NA1, Karma, [3871, 0, 3118, 3165, 3158, 1052, 3364], 3, 5, 15, 11, UTILITY, 8139, 8485, 34, 0
Crimson, Int, Briar, [3071, 1053, 1043, 1028, 1055, 3047, 3340], 1, 8, 1, 12, TOP, 9269, 7473, 146, 4
dear, 0 0, Zac, [6653, 1082, 6660, 3158, 8020, 1031, 3364], 6, 6, 5, 13, JUNGLE, 10746, 9203, 20, 127
1TKat, Kat, Katarina, [3100, 2031, 3145, 3041, 1058, 3020, 3364], 8, 4, 5, 12, MIDDLE, 9785, 8972, 129, 4
Ereshkigal, snow, Twitch, [1055, 3153, 2031, 3006, 1018, 1037, 3363], 2, 7, 6, 11, BOTTOM, 7711, 7278, 111, 0
cute, luvme, Lulu, [3870, 3107, 3190, 2055, 1052, 3158, 3364], 1, 4, 10, 11, UTILITY, 8273, 6657, 40, 0
