player_name, player_tagline, player_champion_name, player_items, player_kills, player_death, player_assists, player_level, player_position, player_experience, player_gold_earned, player_cs, player_cs_jg
Liuscha, 7777, Darius, [1055, 2031, 3044, 0, 0, 1001, 3340], 1, 0, 2, 7, TOP, 3809, 2900, 43, 2
Gluestickz, NA1, Shyvana, [1101, 3161, 2055, 2422, 0, 0, 3364], 3, 0, 2, 8, JUNGLE, 4173, 4345, 9, 70
lost servant, 0000, Talon, [1001, 3142, 2031, 3134, 1036, 0, 3340], 5, 1, 1, 8, MIDDLE, 4592, 4678, 65, 2
cliPperzz, 008, Hwei, [1056, 3802, 1052, 3020, 0, 0, 3340], 1, 0, 1, 8, BOTTOM, 4467, 3691, 80, 0
darkerorjr, na2, Poppy, [3866, 1037, 2055, 3133, 1036, 0, 3364], 2, 0, 5, 6, UTILITY, 2911, 3601, 7, 2
Rem, 22222, Sett, [1055, 2031, 3044, 0, 0, 0, 3340], 0, 3, 0, 8, TOP, 4498, 2889, 67, 0
mig15hades, 1524, Zac, [0, 2508, 1082, 1103, 0, 0, 3364], 0, 4, 0, 7, JUNGLE, 3397, 3171, 1, 66
tsunting, 0609, Yasuo, [2031, 1043, 0, 1036, 1054, 3006, 3340], 1, 4, 0, 8, MIDDLE, 4601, 3379, 78, 0
Deadly44, NA1, Jhin, [1055, 1001, 0, 1018, 1036, 0, 3340], 0, 1, 0, 6, BOTTOM, 2495, 2658, 54, 0
tyson xo, TVO, Senna, [3866, 3067, 1001, 1052, 0, 0, 3364], 0, 0, 0, 7, UTILITY, 3230, 2562, 17, 0
